Country,ConcessionName,ConcessionContractor,ConcessionDescription,ConcessionSource,ConcessionSourceDate,Retrieved at
#country,#license,#license+participant+company,#license+description,#source,#sourceDate,#retrievedAt
Indonesia,P31 Sakakemang Timur,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sakakemang,Sakakemang Petroleum LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sebuku Block,Pearl Oil Sebkuku LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Muara Bakau,ENI Muara Bakau B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P44 Tarakan-1,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kakai,Star Energy Kakai LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Tuna,Premier Oil Tuna B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North Sumbawa II,Husky Oil North Sumbawa LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Telen,Total E&P Indonesia Telen B.V.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Air Sugihan,PT Bintang Berlian Air Sugihan,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kangean,Kangean Energy Indonesia LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Matindok,Black Gold South Madindok LLC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P5 Binangat Pelarang Fields,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Lirik II,PT Karya Inti Petroleum,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sibaru,Mitra Energy Indonesia Sibaru LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Kai Imantan,Chevron Indonesia Company,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P17a Kluang Siarak Area-2,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South West Bukit Barisan,PT Radiant Bukit Barisan E&P,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North Makassar Strai,Niko Resources North Makassar Strait LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Offshore North X-Ray,Conrad Petroleum V LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P41a Sumbagsel Area-2,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Simenggaris,Sonlaw United Corporation,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Glagah Kambuna,Petronas Carigali WGK LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Budong-Budong,Harvest Budong-Budong B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North East Madura,Techwin Energy NorthEast Madura LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Pandan,PT Tropek Energi Pandan,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Simenggaris Block,JOB Pertamina-Medco E&P Simenggaris,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Titan,AWE Titan NZ LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P1b AD Sabaku 3,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Lampung III,PT Harpindo Mitra Kharisma,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Cendrawasih VII,Lundin Sareba B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Matindok,Caelus Energy Mangkauhat PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P13 Karang Mumus-Bivak Field,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Wain,PT Pandawa Prima Lestari,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Cendrawasih Bay II,Niko Resources Cendrawasih Bay II LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Corridor,ConocoPhillips Grissik LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P26 Perlak,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Puri,Puri Petroleum Resources LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Jabung,Pan Orient Energy East Jabung PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Arguni I,ENI Arguni LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P37 Semberah Field,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Madura Offshore Block,Santos Madura Offshore PTY LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Palangkaraya,Petcon Borneo LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,B Block,Exxonmobil Oil Indonesia INC.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P47 Wailawi Field,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sageri,Talisman Sageri LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Merangin I,PT Medco E&P Merangin,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Manokwari,Irian Petroleum LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Karapan,"Amstelco Karapan PTE, LTD",,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Pase Block,Triangle Pase INC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kuningan,PT Ekuator Energi Kuningan,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Brantias,Lapindo Brantas INC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Aru I,BP West Aru I LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P11a Jawa Bagian Timur Area-3,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Rimau,PT Medco E&P Rimau,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Barito Block,Murphy South Barito LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Ratanghari,Cnooc Ratanghari LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P22 Meruap,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Tungkal,PT Three Golden Energy West Tungkal,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Sageri,Niko Resources West Sageri LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bentu Segat,EMP Bentu LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P32 Samboja Field,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bangkanai,Salamander Energy Bangkanai PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kerapu,Pearloil Tachylyte LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Timor Block,ENI West Timor LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P44a Tarakan-2,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sekavu,Star Energy Sekavu LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Siak Block,PT Chevron Pacific Indonesia,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Attaka,Indonesia Petroleum Exploration LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South West Bird's Head,Total E&P Indonesia West Papua,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sanggau,PT Bintang Berlian Sanggau,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Babai,KE Babai Tanjung LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bone Bay,Black Gold Ventures LLC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P6 Bunyu,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kahayan,PT Mandira Mahesa Energi,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Biliton,Mitra Energy Biliton LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Makassar Strait - Offshore Area A,Chevron Makasar LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P17b Kluang Siarak Area-3,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Langgak,PT Sarana Pembangunnan Riau & Kingswood Capital LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Obi,Niko Resources Obi LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Merangin III,Cooper Energy Merangin III Limited,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P41b Sumbagsel Area-3,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Madura,South Madura Exploration Company LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Lampung II,Petronas Carigali Lampung II LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Semai V,Hess Indonesia Semai V LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Betung,Techwin Energy South Betung LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Offshore Lampung I,PT Aditya Nugraha Pratama Energy Lampung,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sendro-Toili Block,JOB Pertamina-Medco E&P Tomori Sulawesi,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kumawa,Black Gold Kumawa LLC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
