Source,Source Date,True At,Country,Project Name / concession layer,Project_ID,Commodity Type Overview,Commodity_type,Date of participation data,Company_Name,Company_ID,Share,Is Operator,License_name,License_ID,Government,Organisation_Identifier,Production_volume,Production_unit,Price from EITI Report,Unit,Payment_type,Currency,Payment received by government (US$),Payment by company (US$)
#source,#sourceDate,#trueAt,#country,#project,#project+identifier,#commodity,#commodity+code,#participant+trueAt,#participant+company,#participant+company+identifier,#participant+share,#participant+isOperator,#license,#license+identifier,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,gh/jub-1235,Oil,Oil,01/01/12,Tullow Ghana Limited ,,34.7,TRUE,,,,,"1,181,088",barrels,Not given,,,,Not given,Not given
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,02/01/12,Kosmos Energy ,,23.50%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,03/01/12,Anadarko Petroleum ,,23.50%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,04/01/12,Ghana National Petroleum Company ,,13.80%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,05/01/12,Sabre Oil & Gas ,,2.80%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,06/01/12,E.O. Group ,,1.70%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,07/01/12,Tullow Ghana Limited ,,35.5,TRUE,,,,,"24,195,895",barrels,113.075,US$/bbl,,,Not given,Not given
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,08/01/12,Kosmos Energy ,,24%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,09/01/12,Anadarko Petroleum ,,24%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,10/01/12,Ghana National Petroleum Company ,,13.60%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Ghana,Jubilee Field,,Oil,Oil,11/01/12,Sabre Oil & Gas ,,2.70%,,,,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Rokan,,Oil & Gas,Oil & Gas,12/01/12,PT Chevron Pacific Indonesia,,,,,,,,Not given,,,,,,"5,477,067,000","5,477,072,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,East Kalimantan,,Oil & Gas,Oil & Gas,13/01/12,Chevron Indonesia Company,,,,,,,,Not given,,,,,,"371,120,000","371,121,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Makassar Strait,,Oil & Gas,Oil & Gas,14/01/12,Chevron Makassar Ltd.,,,,,,,,Not given,,,,,,"189,152,000","186,646,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Siak,,Oil & Gas,Oil & Gas,15/01/12,Chevron Siak Inc.,,,,,,,,Not given,,,,,,"34,868,000","34,868,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,MFK,,Oil & Gas,Oil & Gas,,Chevron Mountain Front Kuantan Inc.,,,,,,,,Not given,,,,,,"9,123,000","8,797,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Mahakam,,Oil & Gas,Oil & Gas,,Total E&P Indonesie,,,,,,,,Not given,,,,,,"2,597,509,000","2,597,509,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Mahakam,,Oil & Gas,Oil & Gas,,Inpex Corporation,,,,,,,,Not given,,,,,,"2,290,007,000","1,456,838,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,South Natuna Sea B,,Oil & Gas,Oil & Gas,,ConocoPhillips Indonesia Inc. Ltd.,,,,,,,,Not given,,,,,,"1,233,560,000","1,233,561,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Corridor,,Oil & Gas,Oil & Gas,,ConocoPhillips (Grissik) Ltd.,,,,,,,,Not given,,,,,,"1,272,176,000","1,272,238,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,South Jambi B,,Oil & Gas,Oil & Gas,,ConocoPhillips (South Jambi) Ltd.,,,,,,,,Not given,,,,,,"6,958,000","6,047,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Indonesia (Nation-wide),,Oil & Gas,Oil & Gas,,PT Pertamina EP,,,,,,,,Not given,,,,,,"1,387,958,000","1,367,305,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Sanga-Sanga,,Oil & Gas,Oil & Gas,,Virginia Indonesia Co.,,,,,,,,Not given,,,,,,"666,025,000","670,618,000"
