Year,Report ID,Country,License,Commodity Type Overview,Commodity_type,Title / Project type,Project Name / concession layer,Project_ID,Project_Uri,Company_Name,Company_ID,Company share of project,IsOperator,Production Year,Production_volume,Production_unit,Price from EITI Report,Unit,Payment received by government (US$),Payment by company (US$),Company,Currency,Data,Company,Value
#year,#eitiSrouce,#country,#license,#project+commodityType,#project+commodityDetails,,#project,#project+identifier,#project+url,#project+company,#project+company+identifier,#project+company+share,#project+company+isOperator,#project+production+year,#project+production+volume,#project+production+unit,#project+production+price,#project+production+priceUnit,#governmentReceipt,#companyPayment,#companyPayment+country,#companyPayment+currency,#companyPayment+date,#companyPayment+company,#companyPayment+value
2009,Indonesia2009,Indonesia,ABC,Oil & Gas,Oil & Gas,,Rokan,,,PT Chevron Pacific Indonesia,,,,2009,,,,,"5,477,067,000","5,477,072,000",Indonesia,USD,2009,PT Chevron Pacific Indonesia,"5,477,072,000"
2009,Indonesia2009,Indonesia,DEF,Oil & Gas,Oil & Gas,,East Kalimantan,,,Chevron Indonesia Company,,,,2009,,,,,"371,120,000","371,121,000",Indonesia,USD,2009,Chevron Indonesia Company,"371,121,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Makassar Strait,,,Chevron Makassar Ltd.,,,,2009,,,,,"189,152,000","186,646,000",Indonesia,USD,2009,Chevron Makassar Ltd.,"186,646,000"
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Tullow Ghana Limited,,34.7,TRUE,2010,"1,181,088",barrels,Not given,,Not given,Not given,Ghana,USD,2010,Tullow Ghana Limited,
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Kosmos Energy,,23.5,,2010,,,,,,,Ghana,USD,2010,Kosmos Energy,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Anadarko Petroleum,,23.5,,2010,,,,,,,Ghana,USD,2010,Anadarko Petroleum,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Ghana National Petroleum Company,,13.8,,2010,,,,,,,Ghana,USD,2010,Ghana National Petroleum Company,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Sabre Oil & Gas,,2.8,,2010,,,,,,,Ghana,USD,2010,Sabre Oil & Gas,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,E.O. Group,,1.7,,2010,,,,,,,Ghana,USD,2010,E.O. Group,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Tullow Ghana Limited,,35.5,TRUE,2010,"24,195,895",barrels,113.075,US$/bbl,Not given,Not given,Ghana,USD,2010,Tullow Ghana Limited,
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Kosmos Energy,,24,,2010,,,,,,,Ghana,USD,2010,Kosmos Energy,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Anadarko Petroleum,,24,,2010,,,,,,,Ghana,USD,2010,Anadarko Petroleum,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Ghana National Petroleum Company,,13.6,,2010,,,,,,,Ghana,USD,2010,Ghana National Petroleum Company,0
2010,Ghana2010,Ghana,,Oil,Oil,,Jubilee Field,,,Sabre Oil & Gas,,2.7,,2010,,,,,,,Ghana,USD,2010,Sabre Oil & Gas,0
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Siak,,,Chevron Siak Inc.,,,,2009,,,,,"34,868,000","34,868,000",Indonesia,USD,2009,Chevron Siak Inc.,"34,868,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,MFK,,,Chevron Mountain Front Kuantan Inc.,,,,2009,,,,,"9,123,000","8,797,000",Indonesia,USD,2009,Chevron Mountain Front Kuantan Inc.,"8,797,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Mahakam,,,Total E&P Indonesie,,,,2009,,,,,"2,597,509,000","2,597,509,000",Indonesia,USD,2009,Total E&P Indonesie,"2,597,509,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Mahakam,,,Inpex Corporation,,,,2009,,,,,"2,290,007,000","1,456,838,000",Indonesia,USD,2009,Inpex Corporation,"1,456,838,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,South Natuna Sea B,,,ConocoPhillips Indonesia Inc. Ltd.,,,,2009,,,,,"1,233,560,000","1,233,561,000",Indonesia,USD,2009,ConocoPhillips Indonesia Inc. Ltd.,"1,233,561,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Corridor,,,ConocoPhillips (Grissik) Ltd.,,,,2009,,,,,"1,272,176,000","1,272,238,000",Indonesia,USD,2009,ConocoPhillips (Grissik) Ltd.,"1,272,238,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,South Jambi B,,,ConocoPhillips (South Jambi) Ltd.,,,,2009,,,,,"6,958,000","6,047,000",Indonesia,USD,2009,ConocoPhillips (South Jambi) Ltd.,"6,047,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Indonesia (Nation-wide),,,PT Pertamina EP,,,,2009,,,,,"1,387,958,000","1,367,305,000",Indonesia,USD,2009,PT Pertamina EP,"1,367,305,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Sanga-Sanga,,,Virginia Indonesia Co.,,,,2009,,,,,"666,025,000","670,618,000",Indonesia,USD,2009,Virginia Indonesia Co.,"670,618,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,North Sumatra Offshore,,,Mobil Expl. Indo (NSO) Inc.,,,,2009,,,,,"355,402,000","355,402,000",Indonesia,USD,2009,Mobil Expl. Indo (NSO) Inc.,"355,402,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,B Block,,,ExxonMobil Oil Indonesia Inc.,,,,2009,,,,,"330,720,000","330,721,000",Indonesia,USD,2009,ExxonMobil Oil Indonesia Inc.,"330,721,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Cepu,,,Mobil Cepu Ltd.,,,,2009,,,,,"22,792,000","22,792,000",Indonesia,USD,2009,Mobil Cepu Ltd.,"22,792,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Pase,,,Mobil Pase Inc.,,,,2009,,,,,"906,000","1,146,000",Indonesia,USD,2009,Mobil Pase Inc.,"1,146,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,South East Sumatera,,,CNOOC SES Ltd.,,,,2009,,,,,"577,228,000","561,290,000",Indonesia,USD,2009,CNOOC SES Ltd.,"561,290,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Coastal Plains Pekanbaru,,,PT Bumi Siak Pusako,,,,2009,,,,,"318,379,000","319,903,000",Indonesia,USD,2009,PT Bumi Siak Pusako,"319,903,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,West Madura,,,PT Pertamina Hulu Energi West Madura,,,,2009,,,,,"134,410,000","134,950,000",Indonesia,USD,2009,PT Pertamina Hulu Energi West Madura,"134,950,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,West Madura,,,"Kodeco Energy Co., Ltd.",,,,2009,,,,,"139,671,000","140,695,000",Indonesia,USD,2009,"Kodeco Energy Co., Ltd.","140,695,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Tuban,,,PT Pertamina Hulu Energi East Java,,,,2009,,,,,"68,409,000","70,719,000",Indonesia,USD,2009,PT Pertamina Hulu Energi East Java,"70,719,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Tuban,,,PetroChina East Java,,,,2009,,,,,"80,947,000","74,147,000",Indonesia,USD,2009,PetroChina East Java,"74,147,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Ogan Komering,,,PT Pertamina Hulu Energi Ogan Komering,,,,2009,,,,,"33,172,000","33,172,000",Indonesia,USD,2009,PT Pertamina Hulu Energi Ogan Komering,"33,172,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Ogan Komering,,,Talisman (Ogan Komering) Ltd.,,,,2009,,,,,"35,461,000","35,695,000",Indonesia,USD,2009,Talisman (Ogan Komering) Ltd.,"35,695,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Kepala Burung,,,PT Pertamina Hulu Energi Salawati,,,,2009,,,,,"20,608,000","21,894,000",Indonesia,USD,2009,PT Pertamina Hulu Energi Salawati,"21,894,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Kepala Burung,,,PetroChina International Salawati Ltd,,,,2009,,,,,"23,992,000","22,479,000",Indonesia,USD,2009,PetroChina International Salawati Ltd,"22,479,000"
