Project,Statoil operator?,Taxes,Royalties,Fees,Bonuses,Host government entitlements (value in NOK millions),Host government entitlements (mmboe),Total (value in NOK millions),Country
Statoil Petroleum AS,Y,"88,634.80",-,-,-,-,-,"88,634.80",NORWAY
Block 15,N,-,-,-,-,"9,187.50",14,"9,187.50",ANGOLA
Block 17,N,-,-,-,-,"8,455.00",14.3,"8,455.00",ANGOLA
ACG,N,-,-,-,-,"8,244.40",12.7,"8,244.40",AZERBAIJAN
Statoil Nigeria Ltd,Y,"2,948.00",-,-,-,-,-,"2,948.00",NIGERIA
Agbami,N,-,-,360,-,"1,873.40",3,"2,233.40",NIGERIA
In Salah,Joint,-,-,-,-,"2,228.20",6.5,"2,228.20",ALGERIA
Statoil Angola Block 17 AS,Y,"2,000.40",-,-,-,-,-,"2,000.40",ANGOLA
Statoil Dezassete AS,Y,"1,514.30",-,-,-,-,-,"1,514.30",ANGOLA
In Amenas,Joint,-,-,-,-,"1,296.00",2.7,"1,296.00",ALGERIA
Peregrino,Y,-,865.2,317.3,-,-,-,"1,182.50",BRAZIL
Statoil North Africa Oil AS,,984.6,-,-,-,-,-,984.6,ALGERIA
Statoil Angola Block 31 AS,,800.8,-,-,-,-,-,800.8,ANGOLA
Statoil Angola Block 15 AS,,743,-,-,-,-,-,743,ANGOLA
Kharyaga,N,,-,-,-,728.9,1.2,728.9,RUSSIA
Statoil Shah Deniz AS,,685.5,-,-,-,-,-,685.5,AZERBAIJAN
Statoil North Africa Gas AS,,614.3,-,0.4,-,-,-,614.7,ALGERIA
Statoil Apsheron AS,,603.1,-,-,-,-,-,603.1,AZERBAIJAN
Shah Deniz,N,-,-,-,-,533.1,1.6,533.1,AZERBAIJAN
Block 31,N,-,-,-,-,411.2,0.7,411.2,ANGOLA
Hibernia,N - incor JV,-,335.8,-,-,-,-,335.8,CANADA
Tahiti,,-,331.5,-,-,-,-,331.5,USA
Statoil Nigeria AS,,321.2,-,-,-,-,-,321.2,NIGERIA
Terra Nova,N,-,302.4,-,-,-,-,302.4,CANADA
Statoil Iran AS,,298.9,-,-,-,-,-,298.9,IRAN
Murzuq,,-,-,-,-,269.4,0.4,269.4,LIBYA
Licences East,,-,-,246,-,-,-,246,NORWAY
Statoil Murzuq AS,,230.2 -,-,,-,-,-,230.2,LIBYA
Bakken,Varies,34.6,191.4,0.7,2.3,-,-,229,USA
Eagle Ford,Varies,140.5,5.4,1,-,-,-,147,USA
Leismer,Y,-,130,10.5,-,-,-,140.5,CANADA
Licences Norwegian Sea,,-,-,123.6,-,-,-,123.6,NORWAY
Exploration licences offshore,,-,-,47.6,66,-,-,113.6,USA
Licences Barents Sea East,,-,-,112.3,-,-,-,112.3,NORWAY
Saga Petroleum Mabruk AS,,94.7,-,-,-,-,-,94.7,LIBYA
Licences West,,-,-,89.8,-,-,-,89.8,NORWAY
Statoil UK Ltd,,87.1,-,-,-,-,-,87.1,UK
Marcellus,Varies,70.5,3.3,0.7,7.4,-,-,81.9,USA
Licences South,,-,-,70.8,-,-,-,70.8,NORWAY
Ceasar Tonga,,-,53.2,-,-,-,-,53.2,USA
Statoil Brasil Oleo e Gas,,49.9,-,-,-,-,-,49.9,BRAZIL
Mabruk,,-,-,-,-,44.8,0.1,44.8,LIBYA
Statoil Trinta e Quatro AS,,32.4,-,-,-,-,-,32.4,ANGOLA
Statoil Hassi Mouina AS,,31,-,-,-,-,-,31,ALGERIA
Block 4/05,,-,-,-,-,26.9,0,26.9,ANGOLA
Statoil Quatro AS,,24.9,-,-,-,-,-,24.9,ANGOLA
Statoil Færøyene AS,,-,-,19.3,-,-,-,19.3,FAROE ISLANDS
Statoil Venezuela AS,,19,-,-,-,-,-,19,VENEZUELA
Statoil Sverige Kharyaga AB,,16.1,-,-,-,-,-,16.1,RUSSIA
Statoil Indonesia North Makassar S. AS,,12.7,-,-,-,-,-,12.7,INDONESIA
Statoil Sincor AS,,9.6,-,-,-,-,-,9.6,VENEZUELA
Statoil Indonesia West Papua IV AS,,8,-,-,-,-,-,8,INDONESIA
Exploration licences offshore,,-,-,6,-,-,-,6,CANADA
Exploration licences,,-,-,5.5,-,-,-,5.5,UK
Operations West,,-,-,5.3,-,-,-,5.3,NORWAY
Operations Mid Norway,,-,-,5.2,-,-,-,5.2,NORWAY
Statoil O&G Mozambique AS,,4.9,-,-,-,-,-,4.9,MOZAMBIQUE
Statoil Indonesia Halmahera II AS,,2,-,1.9,-,-,-,3.9,INDONESIA
Statoil Indonesia Karama AS,,3.3,-,-,-,-,-,3.3,INDONESIA
Statoil Greenland AS,,2.5,-,0.1,-,-,-,2.6,GREENLAND
Exploration licences onshore,,-,-,2.5,-,-,-,2.5,AUSTRALIA
Statoil Indonesia AS,,2.5,-,-,-,-,-,2.5,INDONESIA
Mariner,,-,-,2.5,-,-,-,2.5,UK
Bressay,,-,-,2.1,-,-,-,2.1,UK
Statoil Canada Ltd.,,1.9,-,-,-,-,-,1.9,CANADA
Statoil Angola Block 22 AS,,1.5,-,-,-,-,-,1.5,ANGOLA
Mariner east,,-,-,1.3,-,-,-,1.3,UK
Statoil Angola Block 40 AS,,1.2,-,-,-,-,-,1.2,ANGOLA
Statoil Indonesia Obi AS,,1.1,-,-,-,-,-,1.1,INDONESIA
Statoil Algeria AS,,1,-,-,-,-,-,1,ALGERIA
Exploration licences,,-,-,0.8,-,-,-,0.8,BRAZIL
Statoil Indonesia North Ganal AS,,0.8,-,-,-,-,-,0.8,INDONESIA
Rocky Mountain,,-,0.6,0.1,-,-,-,0.7,USA
Statoil Angola Block 25 AS,,0.6,-,-,-,-,-,0.6,ANGOLA
Statoil Angola Block 39 AS,,0.4,-,-,-,-,-,0.4,ANGOLA
Q,,-,-,0.3,-,-,-,0.3,USA
PT Statoil Indonesia,,0.2,-,-,-,-,-,0.2,INDONESIA
Statoil International Venezuela AS,,0.2,-,-,-,-,-,0.2,VENEZUELA
Exploration licences offshore,,-,-,0.1,-,-,-,0.1,AUSTRALIA
Licences Utsira High,,-,-,-4.2,-,-,-,-4.2,NORWAY
